X,Y,OBJECTID,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PHONE_NUM,GLOBALID,WEBSITE
-83.040512177032156,39.957569433993356,5712654,1500 W BROAD ST,Tobacco Shop At Central,Retail - Commercial/Retail,,,{F04BC290-07DB-4613-9574-0EF5ECDE768A},
-83.094139233062421,40.089865120736711,5712656,6063 SAWMILL RD,Kohl's,Retail - Department Store,,,{5D2D0503-D6F5-4D5F-94F1-83D7933F3F5E},
-83.092857346661589,40.085825341072869,5712657,5835 SAWMILL RD,Rendezvous Lounge,Retail - Restaurant,,,{4745D72A-1EFB-4C3C-AB60-9F32108F9665},
-83.040729435253397,40.063877161037439,5712658,808 BETHEL RD,Tandoori Grill,Retail - Restaurant,,6143263777,{E684499F-4D3F-40AC-8CC9-CE3E61340CAC},
-82.888501601542742,39.929552570407331,5712659,4111 GROVES RD,Five Star Store It ,Retail - Services,,,{B7B479A8-8934-43E4-BDBA-37A19AEC0C77},
-83.124335093972405,39.920559339659732,5712661,1516 GEORGESVILLE RD,Arby's,Retail - Restaurant,,,{63739DB6-DEFF-4132-814C-C39D924ECD28},
-83.090328942772416,40.098170936690437,5712662,6410 SAWMILL RD,Raising Cane's,Retail - Restaurant,,,{9489E016-03A2-4687-BF7C-90EEC788E659},
-83.062380407800049,39.969583979769915,5712666,2235 MCKINLEY AVE,Hite Parts Exchange ,Retail - Commercial/Retail,,,{41C32F90-1C2F-4090-B4E6-128BA3C85417},
-83.036096014403995,39.950647067476417,5712667,1384 SULLIVANT AVE,Spank's Tavern,Retail - Restaurant,,,{C93177D8-BD62-4779-BB50-B47FE78DD284},
-82.919502399498484,40.050502852539644,5712671,3954 MORSE CROSSING,Starbucks,Retail - Restaurant,,,{BDE397C5-9420-4CE1-9CBB-FADDC8BE53B8},
-82.917673673297898,40.057116762042988,5712674,4300 MORSE CROSSING,Mercedes-Benz of Easton,Retail - Commercial/Retail,,,{DBA2FE29-91FF-4BB8-89C4-96C634E33D9C},
-82.916729208292367,39.98084006146577,5712676,3232 ALLEGHENY AVE,Correct Custom Dry Wall,Retail - Services,,,{47EF22ED-FDA8-4608-A9CD-D782F916993A},
-82.847844878640146,39.943912978447827,5712677,5514 E LIVINGSTON AVE,American Image Hair & Nail,Retail - Services,,,{6BA2B1FA-7A6E-4CF6-9D9D-CB6E351491B4},
-82.818238525447327,39.989683069867553,5712678,6820 COMMERCE COURT DR,Pyrinex Computer Repair ,Retail - Services,,,{D9B178D4-3DC4-4883-A2B3-F51FC2147B4E},
-83.084532717172024,40.112834577849341,5712679,2564 BILLINGSLEY RD,Embroidery Design Group,Retail - Commercial/Retail,,,{6B65A607-9FFD-4E0C-A2A8-3C22EDE836DC},
-82.877237388273613,39.91388308670728,5712681,4485 REFUGEE RD,Kroger,Retail - Grocery,CBLD1710966,614-861-4578,{D7CABA43-C67B-4288-9444-ACE9B6FE0FAA},
-82.827124908206869,40.097814169257028,5712684,5595 NEW ALBANY RD W,Ace Hardware,Retail - Commercial/Retail,,,{ABC99A1B-4641-4295-86B4-D46124D46EA1},
-83.103423425288682,39.952658743389563,5712685,3865 W BROAD ST,Haydocy Airstream & RV,Retail - Commercial/Retail,,,{2A9EBAD3-3951-4E8F-9CCF-8743FB20002B},
-83.104159447713613,39.952554847176657,5712686,3895 W BROAD ST,Haydocy Buick GMC,Retail - Commercial/Retail,,,{936EB1FF-C3D9-4511-A0A2-C9DB940907B8},
-82.916266248548041,39.9167272045865,5712687,2731 WINCHESTER PIKE,Turkey Hill,Retail - Gas Station,Restaurant DB,,{E481C0F0-930A-48EC-9718-739DA140A045},
-82.83234177035007,39.978895614939013,5712689,6335 E BROAD ST,Holmes Suites & Inn,Retail - Hotel/Motel,,,{46E51201-74C3-4E7C-A6E5-9EB94D4EA143},
-83.063914602898478,39.955240305151648,5712690,2383 W BROAD ST,Family Dollar,Retail - Commercial/Retail,,,{64D2BB55-3C7F-42B9-8E05-997D8D91F64C},
-82.906604467032935,40.063470126542484,5712692,4202 TRANSIT DR,WoodSpring Suites Columbus Easton,Retail - Hotel/Motel,,,{C2AC81CC-BC72-4609-BB15-9E0534399BE3},
-83.004805689760872,39.972160371961543,5712697,491 PARK ST,Park Street Cantina,Retail - Restaurant,,,{69FB4DCA-8E32-4965-A322-2173F0E2890A},
-82.884218458316582,39.896500336213876,5712698,3841 S HAMILTON RD  Unit 40,Giant Eagle,Retail - Grocery,,6148368258,{922F7F21-188E-4B17-8D93-96DEBFAC0FF9},
-82.878276134632713,39.890208710335799,5712700,4200 HAMILTON SQUARE BLVD,McKee Door Sales,Retail - Commercial/Retail,,,{990F9F2C-7609-4036-A715-FFA6D5788B9F},
-82.882557370981957,39.901606648822948,5712701,3619 S HAMILTON RD,Family Dollar,Retail - Commercial/Retail,,,{FD540080-684E-4882-94D7-4CAECC28BCA8},
-83.068377701854487,40.054781783686408,5712703,1836 W HENDERSON RD,Bibibop,Retail - Restaurant,,,{12634165-D9D8-4B1D-97EF-3A0805658396},
-82.980487209292818,39.923334415309704,5712704,555 MARION RD,Buckeye Shapeform,Retail - Commercial/Retail,,,{3EF4888E-BA99-45DD-AD3A-A1B77C731BE7},
-83.130008135389943,40.075547127093856,5712706,5065 TUTTLE CROSSING BLVD,Verizon Wireless,Retail - Commercial/Retail,,,{A581AF2A-DA6F-4C06-9C88-9D3739461B7A},
-82.958511463987421,40.060773379909506,5712707,2270 MORSE RD,Fashion City,Retail - Commercial/Retail,,,{D0A21E8E-9752-4109-8285-BCF90936F570},
-82.960498878752077,40.060935803828542,5712710,2200 MORSE RD,Old Time Pottery,Retail - Commercial/Retail,,,{DB8C89F1-1FA1-49B8-B30D-7BCD4228CC23},
-83.156424190462573,40.056318143920031,5712711,5730 HAYDEN RUN RD,Green & Sons Farm & Lawn Equipment,Retail - Commercial/Retail,,,{2D7D236B-FAE7-48B4-BA0D-0A2D28810FD7},
-82.938316490482364,39.947961083372874,5712712,2201 E LIVINGSTON AVE,Leipzig Haus,Retail - Restaurant,,,{FF5EE4F6-D151-47DF-8AF4-2D36B618B51C},
-83.019595342101496,40.068222883512341,5712713,5179 N HIGH ST,Marco's Pizza,Retail - Restaurant,,,{98A4E703-0B14-49C1-988C-B65B917C84F4},
-83.094624957585097,39.955941946067085,5712715,85 N WILSON RD,Kroger Gas,Retail - Gas Station,,,{00130F47-6819-493F-A3C4-784DCC98B53C},
-82.890384839277303,39.998899134714506,5712716,4300 INTERNATIONAL GATEWAY,Fairfield Inn & Suites,Retail - Hotel/Motel,,,{BF41E09B-5114-4CBA-9ED6-6003FF64CA89},
-82.892948079379423,39.999373324985747,5712717,4265 SAWYER RD,Hilton Garden Inn Columbus Airport,Retail - Hotel/Motel,,,{C3BA729D-5CCB-4158-BB92-78F56A17D5C3},
-82.892013678717063,39.999096135937847,5712718,4280 INTERNATIONAL GATEWAY,Hampton Inn & Suites Columbus Airport,Retail - Hotel/Motel,,,{AC61E568-00E4-47A9-9907-6133FB08015C},
-83.051137693459438,40.050948772268946,5712720,1155 OLD HENDERSON RD,Tensuke Express,Retail - Restaurant,Restaurant DB,,{94C79D2D-7A75-4FC3-8068-7150BAB339BE},
-82.839948784019072,39.931793576195489,5712721,5711 SCARBOROUGH BLVD,Germain Toyota ,Retail - Commercial/Retail,,,{67039C72-DB47-41C7-B986-B141A17689D7},
-83.005655508895771,39.986920716463068,5712723,1205 N HIGH ST,Two Truths,Retail - Restaurant,,,{CAAC2533-72D2-462A-9376-3597D430300D},
-82.90700433403174,40.054999661587182,5712724,4203 WORTH AVE,White Barn,Retail - Commercial/Retail,,,{848EC5CD-CA25-47DF-BDBE-719384F40187},
-82.907775742774177,40.055022579048064,5712725,4173 WORTH AVE,Urban Home and Garden,Retail - Commercial/Retail,,,{67C9B155-5AD1-4D4C-86A5-EF3A539F0CA6},
-82.908051907958139,40.054299392258912,5712726,3922 STELZER RD,Sprint ,Retail - Commercial/Retail,,,{2A7B3D1E-1C34-4817-8E80-AC8D7950A576},
